Count  14657
Boundary 5 16542, 3531206; 16542, 3532089; 18902, 3532089; 18902, 3531206; 16542, 3531206; 
Boundary 5 17071, 515153; 17071, 515179; 18322, 515179; 18322, 515153; 17071, 515153; 
Boundary 5 17614, 4755664; 17614, 4756672; 18362, 4756672; 18362, 4755664; 17614, 4755664; 
Boundary 5 17694, 2676156; 17694, 2676442; 19800, 2676442; 19800, 2676156; 17694, 2676156; 
Boundary 5 17958, 3751046; 17958, 3755378; 18346, 3755378; 18346, 3751046; 17958, 3751046; 
Boundary 5 19361, 6289367; 19361, 6293210; 19654, 6293210; 19654, 6289367; 19361, 6289367; 
Boundary 5 20547, 1231302; 20547, 1231582; 21412, 1231582; 21412, 1231302; 20547, 1231302; 
Boundary 5 22625, 984197; 22625, 990884; 22882, 990884; 22882, 984197; 22625, 984197; 
Boundary 5 24246, 1072376; 24246, 1074739; 26995, 1074739; 26995, 1072376; 24246, 1072376; 
Boundary 5 25748, 56203; 25748, 56448; 31040, 56448; 31040, 56203; 25748, 56203; 
Boundary 5 26206, 3955370; 26206, 3957602; 27147, 3957602; 27147, 3955370; 26206, 3955370; 
Boundary 5 27423, 4491800; 27423, 4492036; 32311, 4492036; 32311, 4491800; 27423, 4491800; 
Boundary 5 27882, 3174; 27882, 8131; 28360, 8131; 28360, 3174; 27882, 3174; 
Boundary 5 28848, 5154301; 28848, 5154832; 31240, 5154832; 31240, 5154301; 28848, 5154301; 
Boundary 5 28943, 3297073; 28943, 3297742; 29904, 3297742; 29904, 3297073; 28943, 3297073; 
Boundary 5 29737, 3495504; 29737, 3496759; 31489, 3496759; 31489, 3495504; 29737, 3495504; 
Boundary 5 29770, 4861819; 29770, 4861981; 36190, 4861981; 36190, 4861819; 29770, 4861819; 
Boundary 5 29806, 532599; 29806, 535471; 30130, 535471; 30130, 532599; 29806, 532599; 
Boundary 5 30485, 579222; 30485, 579596; 34395, 579596; 34395, 579222; 30485, 579222; 
Boundary 5 30909, 1934991; 30909, 1935773; 35454, 1935773; 35454, 1934991; 30909, 1934991; 
Boundary 5 31405, 4997064; 31405, 4999057; 35793, 4999057; 35793, 4997064; 31405, 4997064; 
Boundary 5 31694, 4274318; 31694, 4274459; 32809, 4274459; 32809, 4274318; 31694, 4274318; 
Boundary 5 32699, 5681771; 32699, 5682122; 36357, 5682122; 36357, 5681771; 32699, 5681771; 
Boundary 5 32782, 3214180; 32782, 3219098; 32942, 3219098; 32942, 3214180; 32782, 3214180; 
Boundary 5 33493, 4136473; 33493, 4137215; 35479, 4137215; 35479, 4136473; 33493, 4136473; 
Boundary 5 33955, 3572483; 33955, 3574690; 35802, 3574690; 35802, 3572483; 33955, 3572483; 
Boundary 5 34133, 2775227; 34133, 2776898; 38785, 2776898; 38785, 2775227; 34133, 2775227; 
Boundary 5 34466, 6096304; 34466, 6100203; 35289, 6100203; 35289, 6096304; 34466, 6096304; 
Boundary 5 34595, 334900; 34595, 336097; 38190, 336097; 38190, 334900; 34595, 334900; 
Boundary 5 34679, 410196; 34679, 410617; 35277, 410617; 35277, 410196; 34679, 410196; 
Boundary 5 35032, 5731432; 35032, 5738297; 36177, 5738297; 36177, 5731432; 35032, 5731432; 
Boundary 5 35038, 3995588; 35038, 4000238; 35223, 4000238; 35223, 3995588; 35038, 3995588; 
Boundary 5 35350, 1834750; 35350, 1834902; 36697, 1834902; 36697, 1834750; 35350, 1834750; 
Boundary 5 35542, 6031540; 35542, 6031941; 37340, 6031941; 37340, 6031540; 35542, 6031540; 
Boundary 5 35886, 2232103; 35886, 2233042; 37312, 2233042; 37312, 2232103; 35886, 2232103; 
Boundary 5 36226, 629057; 36226, 631253; 36893, 631253; 36893, 629057; 36226, 629057; 
Boundary 5 36304, 1919343; 36304, 1919823; 36958, 1919823; 36958, 1919343; 36304, 1919343; 
Boundary 5 36860, 4213572; 36860, 4214303; 37090, 4214303; 37090, 4213572; 36860, 4213572; 
Boundary 5 36932, 235279; 36932, 236079; 37185, 236079; 37185, 235279; 36932, 235279; 
Boundary 5 36943, 810948; 36943, 812730; 37165, 812730; 37165, 810948; 36943, 810948; 
Boundary 5 37097, 6247104; 37097, 6247776; 37168, 6247776; 37168, 6247104; 37097, 6247104; 
Boundary 5 38716, 5431507; 38716, 5433234; 39713, 5433234; 39713, 5431507; 38716, 5431507; 
Boundary 5 40355, 4177427; 40355, 4177607; 41657, 4177607; 41657, 4177427; 40355, 4177427; 
Boundary 5 41693, 5941249; 41693, 5941751; 45346, 5941751; 45346, 5941249; 41693, 5941249; 
Boundary 5 41955, 4199842; 41955, 4200252; 49585, 4200252; 49585, 4199842; 41955, 4199842; 
Boundary 5 45007, 6060453; 45007, 6061576; 53011, 6061576; 53011, 6060453; 45007, 6060453; 
Boundary 5 45344, 5633626; 45344, 5637111; 49840, 5637111; 49840, 5633626; 45344, 5633626; 
Boundary 5 45393, 2548080; 45393, 2552627; 49629, 2552627; 49629, 2548080; 45393, 2548080; 
Boundary 5 45454, 5581296; 45454, 5581477; 48352, 5581477; 48352, 5581296; 45454, 5581296; 
Boundary 5 45696, 3320484; 45696, 3320813; 51630, 3320813; 51630, 3320484; 45696, 3320484; 
Boundary 5 45729, 3274656; 45729, 3276649; 50527, 3276649; 50527, 3274656; 45729, 3274656; 
Boundary 5 46251, 1112831; 46251, 1116835; 52807, 1116835; 52807, 1112831; 46251, 1112831; 
Boundary 5 47068, 2405553; 47068, 2407239; 47533, 2407239; 47533, 2405553; 47068, 2405553; 
Boundary 5 48205, 3173720; 48205, 3175261; 52537, 3175261; 52537, 3173720; 48205, 3173720; 
Boundary 5 48458, 2772062; 48458, 2772282; 48584, 2772282; 48584, 2772062; 48458, 2772062; 
Boundary 5 48521, 2470765; 48521, 2473339; 49468, 2473339; 49468, 2470765; 48521, 2470765; 
Boundary 5 49044, 1815026; 49044, 1816425; 52338, 1816425; 52338, 1815026; 49044, 1815026; 
Boundary 5 49162, 852381; 49162, 854270; 50374, 854270; 50374, 852381; 49162, 852381; 
Boundary 5 49195, 5269673; 49195, 5273130; 56851, 5273130; 56851, 5269673; 49195, 5269673; 
Boundary 5 51092, 2608434; 51092, 2611536; 54816, 2611536; 54816, 2608434; 51092, 2608434; 
Boundary 5 51191, 1997416; 51191, 1998142; 52419, 1998142; 52419, 1997416; 51191, 1997416; 
Boundary 5 51277, 3386451; 51277, 3389157; 51995, 3389157; 51995, 3386451; 51277, 3386451; 
Boundary 5 51555, 5299262; 51555, 5300198; 52619, 5300198; 52619, 5299262; 51555, 5299262; 
Boundary 5 52181, 5652792; 52181, 5660927; 57686, 5660927; 57686, 5652792; 52181, 5652792; 
Boundary 5 52240, 3498824; 52240, 3499290; 53923, 3499290; 53923, 3498824; 52240, 3498824; 
Boundary 5 52533, 3419984; 52533, 3420627; 57284, 3420627; 57284, 3419984; 52533, 3419984; 
